time,state
2025-01-07 22:15:53.832,1
2025-01-07 22:15:53.832,2
2025-01-07 22:15:53.882,2
2025-01-07 22:15:53.882,3
2025-01-07 22:15:54.163,3
2025-01-07 22:15:54.163,2
2025-01-07 22:15:54.170,2
2025-01-07 22:15:54.170,3
2025-01-07 22:15:54.180,3
2025-01-07 22:15:54.180,2
2025-01-07 22:15:54.279,2
2025-01-07 22:15:54.279,1
2025-01-07 22:15:54.345,1
2025-01-07 22:15:54.345,2
2025-01-07 22:15:54.715,2
2025-01-07 22:15:54.715,1
2025-01-07 22:15:54.841,1
2025-01-07 22:15:54.841,2
2025-01-07 22:15:55.222,2
2025-01-07 22:15:55.222,1
2025-01-07 22:15:55.338,1
2025-01-07 22:15:55.338,2
2025-01-07 22:15:55.454,2
2025-01-07 22:15:55.454,3
2025-01-07 22:15:55.457,3
2025-01-07 22:15:55.457,2
2025-01-07 22:15:55.470,2
2025-01-07 22:15:55.470,3
2025-01-07 22:15:55.474,3
2025-01-07 22:15:55.474,2
2025-01-07 22:15:55.487,2
2025-01-07 22:15:55.487,3
2025-01-07 22:15:55.490,3
2025-01-07 22:15:55.490,2
2025-01-07 22:15:55.503,2
2025-01-07 22:15:55.503,3
2025-01-07 22:15:55.507,3
2025-01-07 22:15:55.507,2
2025-01-07 22:15:55.520,2
2025-01-07 22:15:55.520,3
2025-01-07 22:15:55.523,3
2025-01-07 22:15:55.523,2
2025-01-07 22:15:55.704,2
2025-01-07 22:15:55.704,1
2025-01-07 22:15:55.718,1
2025-01-07 22:15:55.718,2
2025-01-07 22:15:55.721,2
2025-01-07 22:15:55.721,1
2025-01-07 22:15:55.818,1
2025-01-07 22:15:55.818,2
2025-01-07 22:15:55.820,2
2025-01-07 22:15:55.820,1
2025-01-07 22:15:55.835,1
2025-01-07 22:15:55.835,2
2025-01-07 22:15:55.917,2
2025-01-07 22:15:55.917,3
2025-01-07 22:15:56.050,3
2025-01-07 22:15:56.050,2
2025-01-07 22:15:56.216,2
2025-01-07 22:15:56.216,1
2025-01-07 22:15:56.315,1
2025-01-07 22:15:56.315,2
2025-01-07 22:15:56.398,2
2025-01-07 22:15:56.398,3
2025-01-07 22:15:56.564,3
2025-01-07 22:15:56.564,2
2025-01-07 22:15:56.713,2
2025-01-07 22:15:56.713,1
2025-01-07 22:15:56.796,1
2025-01-07 22:15:56.796,2
2025-01-07 22:15:56.896,2
2025-01-07 22:15:56.896,3
2025-01-07 22:15:57.011,3
2025-01-07 22:15:57.011,2
2025-01-07 22:15:57.193,2
2025-01-07 22:15:57.193,1
2025-01-07 22:15:57.291,1
2025-01-07 22:15:57.291,2
2025-01-07 22:15:57.357,2
2025-01-07 22:15:57.357,3
2025-01-07 22:15:57.572,3
2025-01-07 22:15:57.572,2
2025-01-07 22:15:57.704,2
2025-01-07 22:15:57.704,1
2025-01-07 22:15:57.770,1
2025-01-07 22:15:57.770,2
2025-01-07 22:15:57.819,2
2025-01-07 22:15:57.819,3
2025-01-07 22:15:57.902,3
2025-01-07 22:15:57.902,4
2025-01-07 22:15:58.005,4
2025-01-07 22:15:58.005,3
2025-01-07 22:15:58.154,3
2025-01-07 22:15:58.154,2
2025-01-07 22:15:58.237,2
2025-01-07 22:15:58.237,1
2025-01-07 22:15:58.303,1
2025-01-07 22:15:58.303,0
2025-01-07 22:15:58.315,0
2025-01-07 22:15:58.315,1
2025-01-07 22:15:58.320,1
2025-01-07 22:15:58.320,0
2025-01-07 22:15:59.338,0
2025-01-07 22:15:59.338,1
2025-01-07 22:15:59.371,1
2025-01-07 22:15:59.371,2
2025-01-07 22:15:59.408,2
2025-01-07 22:15:59.408,3
2025-01-07 22:15:59.701,3
2025-01-07 22:15:59.701,2
2025-01-07 22:15:59.800,2
2025-01-07 22:15:59.800,1
2025-01-07 22:15:59.833,1
2025-01-07 22:15:59.833,2
2025-01-07 22:15:59.903,2
2025-01-07 22:15:59.903,3
2025-01-07 22:16:00.113,3
2025-01-07 22:16:00.113,2
2025-01-07 22:16:00.262,2
2025-01-07 22:16:00.262,1
2025-01-07 22:16:00.344,1
